datetime,city,temp,humidity,pressure,wind_speed,clouds,visibility,weather
2026-06-05 12:45:55.129633,Varanasi,43.76,16,998,3.62,0,10000,Clear
2026-06-05 12:59:14.883145,Azamgarh,43.04,17,999,2.85,1,10000,Clear
2026-06-05 13:15:08.159600,Varanasi,43.33,16,998,4.49,45,10000,Clouds
2026-06-05 13:37:29.013266,Varanasi,43.33,16,998,4.49,45,10000,Clouds
2026-06-05 13:41:27.471523,Varanasi,43.33,16,998,4.49,45,10000,Clouds
2026-06-05 13:51:41.862919,Azamgarh,43.14,16,998,3.02,33,10000,Clouds
2026-06-05 14:34:13.740473,Varanasi,43.24,16,997,4.34,64,10000,Clouds
2026-06-05 14:36:08.347850,Varanasi,43.24,16,997,4.34,64,10000,Clouds
2026-06-05 14:36:33.027268,Varanasi,43.24,16,997,4.34,64,10000,Clouds
